"Trap","Emptied","period","eb_start","eb_end","gas_start","gas_end","gas_accumulated","time_accumulated","time_hr","Site"
"C1D","No","2~3","2022-09-06 13:05:03","2022-09-06 15:56:06",0,0,0,"10262.5090000629s (~2.85 hours)",2.85069694446193,"Catfish"
"C1D","No","3~4","2022-09-06 15:56:06","2022-09-06 18:59:07",0,0,0,"10981.2219998837s (~3.05 hours)",3.05033944441213,"Catfish"
"C1D","No","4~5","2022-09-06 18:59:07","2022-09-06 21:59:15",0,0.379141061824358,0.379141061824358,"10808.6696665287s (~3 hours)",3.00240824070242,"Catfish"
"C1D","No","5~6","2022-09-06 21:59:15","2022-09-07 01:05:50",0.379141061824358,0.379141061824358,0,"11194.4333333969s (~3.11 hours)",3.10956481483248,"Catfish"
"C1D","No","6~7","2022-09-07 01:05:50","2022-09-07 04:14:54",0.379141061824358,0.670657792045762,0.291516730221404,"11343.7170000076s (~3.15 hours)",3.15103250000212,"Catfish"
"C1D","No","7~8","2022-09-07 04:14:54","2022-09-07 07:09:50",0.670657792045762,0.670657792045762,0,"10496.7300000191s (~2.92 hours)",2.91575833333863,"Catfish"
"C1D","No","8~9","2022-09-07 07:09:50","2022-09-07 08:39:00",0.670657792045762,0.3,-0.370657792045762,"5349.2256667614s (~1.49 hours)",1.48589601854483,"Catfish"
"C1E","No","NA~0",NA,"2022-09-06 09:16:00",NA,0,NA,NA,NA,"Catfish"
"C1E","No","0~1","2022-09-06 09:16:00","2022-09-06 10:08:56",0,0,0,"3176.28999996185s (~52.94 minutes)",0.882302777767181,"Catfish"
"C1E","No","1~2","2022-09-06 10:08:56","2022-09-06 13:05:52",0,0,0,"10616.1700000763s (~2.95 hours)",2.9489361111323,"Catfish"
"C1E","No","2~3","2022-09-06 13:05:52","2022-09-06 15:56:39",0,0,0,"10246.8099999428s (~2.85 hours)",2.84633611109522,"Catfish"
"C1E","No","3~4","2022-09-06 15:56:39","2022-09-06 18:59:39",0,0.936259582334605,0.936259582334605,"10980.2300000191s (~3.05 hours)",3.05006388889419,"Catfish"
"C1E","No","4~5","2022-09-06 18:59:39","2022-09-06 21:59:57",0.936259582334605,0.670657792045762,-0.265601790288843,"10818.2909998894s (~3.01 hours)",3.0050808333026,"Catfish"
"C1E","No","5~6","2022-09-06 21:59:57","2022-09-07 01:06:27",0.670657792045762,0.936259582334605,0.265601790288843,"11190.1649999619s (~3.11 hours)",3.10837916665607,"Catfish"
"C1E","No","6~7","2022-09-07 01:06:27","2022-09-07 04:15:40",0.936259582334605,0.936259582334605,0,"11353.0140001774s (~3.15 hours)",3.15361500004927,"Catfish"
"C1E","No","7~8","2022-09-07 04:15:40","2022-09-07 07:10:45",0.936259582334605,0.936259582334605,0,"10504.4019999504s (~2.92 hours)",2.91788944443067,"Catfish"
"C1E","No","8~9","2022-09-07 07:10:45","2022-09-07 08:41:00",0.936259582334605,9.9,8.9637404176654,"5414.62800002098s (~1.5 hours)",1.50406333333916,"Catfish"
"C2A","No","NA~0",NA,"2022-09-06 09:14:00",NA,0,NA,NA,NA,"Catfish"
"C2A","No","0~1","2022-09-06 09:14:00","2022-09-06 10:11:45",0,0,0,"3465.16499996185s (~57.75 minutes)",0.962545833322737,"Catfish"
"C2A","No","1~2","2022-09-06 10:11:45","2022-09-06 13:08:54",0,0,0,"10628.998000145s (~2.95 hours)",2.95249944448471,"Catfish"
"C2A","No","2~3","2022-09-06 13:08:54","2022-09-06 15:59:39",0,0,0,"10245.7030000687s (~2.85 hours)",2.84602861113018,"Catfish"
"C2A","No","3~4","2022-09-06 15:59:39","2022-09-06 19:02:25",0,0,0,"10965.2909998894s (~3.05 hours)",3.04591416663594,"Catfish"
"C2A","No","4~5","2022-09-06 19:02:25","2022-09-06 22:03:24",0,0,0,"10859.0559999943s (~3.02 hours)",3.01640444444286,"Catfish"
"C2A","No","5~6","2022-09-06 22:03:24","2022-09-07 01:09:38",0,0,0,"11174.4449999332s (~3.1 hours)",3.10401249998146,"Catfish"
"C2A","No","6~7","2022-09-07 01:09:38","2022-09-07 04:18:43",0,0,0,"11344.9159998894s (~3.15 hours)",3.15136555552483,"Catfish"
"C2A","No","7~8","2022-09-07 04:18:43","2022-09-07 07:13:34",0,0,0,"10490.5080001354s (~2.91 hours)",2.91403000003762,"Catfish"
"C2A","No","8~9","2022-09-07 07:13:34","2022-09-07 08:43:00",0,0,0,"5365.91799998283s (~1.49 hours)",1.49053277777301,"Catfish"
"C2B","No","NA~0",NA,"2022-09-06 09:13:00",NA,0,NA,NA,NA,"Catfish"
"C2B","No","0~1","2022-09-06 09:13:00","2022-09-06 10:16:16",0,0,0,"3796.45800018311s (~1.05 hours)",1.05457166671753,"Catfish"
"C2B","No","1~2","2022-09-06 10:16:16","2022-09-06 13:14:11",0,0,0,"10675.1139998436s (~2.97 hours)",2.965309444401,"Catfish"
"C2B","No","2~3","2022-09-06 13:14:11","2022-09-06 16:06:18",0,0,0,"10326.8954999447s (~2.87 hours)",2.86858208331797,"Catfish"
"C2B","No","3~4","2022-09-06 16:06:18","2022-09-06 19:10:11",0,0,0,"11032.7945001125s (~3.06 hours)",3.06466513892015,"Catfish"
"C2B","No","4~5","2022-09-06 19:10:11","2022-09-06 22:11:58",0,0.379141061824358,0.379141061824358,"10907.5269999504s (~3.03 hours)",3.02986861109734,"Catfish"
"C2B","No","5~6","2022-09-06 22:11:58","2022-09-07 01:14:49",0.379141061824358,0.936259582334605,0.557118520510247,"10970.929500103s (~3.05 hours)",3.04748041669528,"Catfish"
"C2B","No","6~7","2022-09-07 01:14:49","2022-09-07 04:24:00",0.936259582334605,0.379141061824358,-0.557118520510247,"11351.0054998398s (~3.15 hours)",3.15305708328883,"Catfish"
"C2B","No","7~8","2022-09-07 04:24:00","2022-09-07 07:19:10",0.379141061824358,1.18631802070561,0.807176958881253,"10510.0009999275s (~2.92 hours)",2.91944472220209,"Catfish"
"C2B","No","8~9","2022-09-07 07:19:10","2022-09-07 08:44:00",1.18631802070561,12.3,11.1136819792944,"5089.27500009537s (~1.41 hours)",1.41368750002649,"Catfish"
"C2C","No","NA~0",NA,"2022-09-06 09:12:00",NA,0,NA,NA,NA,"Catfish"
"C2C","No","0~1","2022-09-06 09:12:00","2022-09-06 10:18:23",0,0,0,"3983.7610001564s (~1.11 hours)",1.10660027782122,"Catfish"
"C2C","No","1~2","2022-09-06 10:18:23","2022-09-06 13:15:08",0,0.936259582334605,0.936259582334605,"10604.7019999027s (~2.95 hours)",2.94575055552853,"Catfish"
"C2C","No","2~3","2022-09-06 13:15:08","2022-09-06 16:07:14",0.936259582334605,1.42541973019844,0.489160147863839,"10326.4049999714s (~2.87 hours)",2.86844583332539,"Catfish"
"C2C","No","3~4","2022-09-06 16:07:14","2022-09-06 19:11:18",1.42541973019844,5.00366020767677,3.57824047747833,"11043.2979998589s (~3.07 hours)",3.06758277773857,"Catfish"
"C2C","No","4~5","2022-09-06 19:11:18","2022-09-06 22:13:08",5.00366020767677,1.42541973019844,-3.57824047747833,"10910.123000145s (~3.03 hours)",3.03058972226249,"Catfish"
"C2C","No","5~6","2022-09-06 22:13:08","2022-09-07 01:17:03",1.42541973019844,5.18199194913054,3.7565722189321,"11035.5889999866s (~3.07 hours)",3.06544138888518,"Catfish"
"C2C","No","6~7","2022-09-07 01:17:03","2022-09-07 04:25:53",5.18199194913054,5.3590117553141,0.17701980618356,"11329.1970000267s (~3.15 hours)",3.14699916667408,"Catfish"
"C2C","No","7~8","2022-09-07 04:25:53","2022-09-07 07:20:35",5.3590117553141,6.49795417348609,1.13894241817199,"10482.4989998341s (~2.91 hours)",2.91180527773168,"Catfish"
"C2C","No","8~9","2022-09-07 07:20:35","2022-09-07 08:45:00",6.49795417348609,6.2,-0.297954173486088,"5064.42600011826s (~1.41 hours)",1.40678500003285,"Catfish"
"C2D","No","NA~0",NA,"2022-09-06 09:10:00",NA,0,NA,NA,NA,"Catfish"
"C2D","No","0~1","2022-09-06 09:10:00","2022-09-06 10:22:49",0,0,0,"4369.56799983978s (~1.21 hours)",1.21376888884438,"Catfish"
"C2D","No","1~2","2022-09-06 10:22:49","2022-09-06 13:26:21",0,0,0,"11012.2000002861s (~3.06 hours)",3.05894444452392,"Catfish"
"C2D","No","2~3","2022-09-06 13:26:21","2022-09-06 16:16:42",0,0,0,"10220.5089998245s (~2.84 hours)",2.83903027772903,"Catfish"
"C2D","No","3~4","2022-09-06 16:16:42","2022-09-06 19:17:36",0,0.670657792045762,0.670657792045762,"10854.1890001297s (~3.02 hours)",3.01505250003603,"Catfish"
"C2D","No","4~5","2022-09-06 19:17:36","2022-09-06 22:19:15",0.670657792045762,0.936259582334605,0.265601790288843,"10899.1259999275s (~3.03 hours)",3.02753499997987,"Catfish"
"C2D","No","5~6","2022-09-06 22:19:15","2022-09-07 01:24:07",0.936259582334605,0.670657792045762,-0.265601790288843,"11091.868999958s (~3.08 hours)",3.08107472221057,"Catfish"
"C2D","No","6~7","2022-09-07 01:24:07","2022-09-07 04:31:21",0.670657792045762,0.936259582334605,0.265601790288843,"11233.9210000038s (~3.12 hours)",3.12053361111217,"Catfish"
"C2D","No","7~8","2022-09-07 04:31:21","2022-09-07 07:25:56",0.936259582334605,0.936259582334605,0,"10474.7880001068s (~2.91 hours)",2.909663333363,"Catfish"
"C2D","No","8~9","2022-09-07 07:25:56","2022-09-07 08:46:00",0.936259582334605,1.5,0.563740417665395,"4803.82999992371s (~1.33 hours)",1.33439722220103,"Catfish"
"C2E","No","NA~0",NA,"2022-09-06 09:09:00",NA,0,NA,NA,NA,"Catfish"
"C2E","No","0~1","2022-09-06 09:09:00","2022-09-06 10:24:41",0,0,0,"4541.42900013924s (~1.26 hours)",1.26150805559423,"Catfish"
"C2E","No","1~2","2022-09-06 10:24:41","2022-09-06 13:28:11",0,0.936259582334605,0.936259582334605,"11009.9336664677s (~3.06 hours)",3.05831490735213,"Catfish"
"C2E","No","2~3","2022-09-06 13:28:11","2022-09-06 16:19:05",0.936259582334605,0.936259582334605,0,"10253.8083333969s (~2.85 hours)",2.84828009261025,"Catfish"
"C2E","No","3~4","2022-09-06 16:19:05","2022-09-06 19:19:30",0.936259582334605,0.936259582334605,0,"10824.996999979s (~3.01 hours)",3.00694361110528,"Catfish"
"C2E","No","4~5","2022-09-06 19:19:30","2022-09-06 22:21:08",0.936259582334605,1.18631802070561,0.250058438371006,"10898.5566666126s (~3.03 hours)",3.02737685183684,"Catfish"
"C2E","No","5~6","2022-09-06 22:21:08","2022-09-07 01:26:39",1.18631802070561,1.42541973019844,0.239101709492832,"11130.5723333359s (~3.09 hours)",3.09182564814885,"Catfish"
"C2E","No","6~7","2022-09-07 01:26:39","2022-09-07 04:33:34",1.42541973019844,1.18631802070561,-0.239101709492832,"11215.5803334713s (~3.12 hours)",3.11543898151981,"Catfish"
"C2E","No","7~8","2022-09-07 04:33:34","2022-09-07 07:27:55",1.18631802070561,1.18631802070561,0,"10461.0696666241s (~2.91 hours)",2.90585268517335,"Catfish"
"C2E","No","8~9","2022-09-07 07:27:55","2022-09-07 08:48:00",1.18631802070561,0.5,-0.686318020705611,"4804.0529999733s (~1.33 hours)",1.33445916665925,"Catfish"
"C3A","No","NA~0",NA,"2022-09-06 09:07:00",NA,0,NA,NA,NA,"Catfish"
"C3A","No","0~1","2022-09-06 09:07:00","2022-09-06 10:25:18",0,0,0,"4698.39499998093s (~1.31 hours)",1.30510972221692,"Catfish"
"C3A","No","1~2","2022-09-06 10:25:18","2022-09-06 13:28:54",0,0.379141061824358,0.379141061824358,"11016.5673334599s (~3.06 hours)",3.06015759262774,"Catfish"
"C3A","No","2~3","2022-09-06 13:28:54","2022-09-06 16:19:53",0.379141061824358,0.936259582334605,0.557118520510247,"10258.208666563s (~2.85 hours)",2.84950240737862,"Catfish"
"C3A","No","3~4","2022-09-06 16:19:53","2022-09-06 19:20:08",0.936259582334605,0.936259582334605,0,"10814.8980000019s (~3 hours)",3.00413833333386,"Catfish"
"C3A","No","4~5","2022-09-06 19:20:08","2022-09-06 22:21:51",0.936259582334605,0.936259582334605,0,"10903.8903334141s (~3.03 hours)",3.02885842594835,"Catfish"
"C3A","No","5~6","2022-09-06 22:21:51","2022-09-07 01:27:36",0.936259582334605,1.18631802070561,0.250058438371006,"11144.2706665993s (~3.1 hours)",3.09563074072202,"Catfish"
"C3A","No","6~7","2022-09-07 01:27:36","2022-09-07 04:34:42",1.18631802070561,4.8239490840169,3.63763106331129,"11226.2486665249s (~3.12 hours)",3.11840240736802,"Catfish"
"C3A","No","7~8","2022-09-07 04:34:42","2022-09-07 07:28:43",4.8239490840169,5.3590117553141,0.535062671297203,"10441.4383335114s (~2.9 hours)",2.90039953708649,"Catfish"
"C3A","No","8~9","2022-09-07 07:28:43","2022-09-07 08:49:00",5.3590117553141,7,1.6409882446859,"4816.08299994469s (~1.34 hours)",1.33780083331797,"Catfish"
"C3B","No","NA~0",NA,"2022-09-06 09:06:00",NA,0,NA,NA,NA,"Catfish"
"C3B","No","0~1","2022-09-06 09:06:00","2022-09-06 10:25:55",0,0,0,"4795.36100006104s (~1.33 hours)",1.33204472223918,"Catfish"
"C3B","No","1~2","2022-09-06 10:25:55","2022-09-06 13:29:38",0,0.379141061824358,0.379141061824358,"11023.2009999752s (~3.06 hours)",3.06200027777089,"Catfish"
"C3B","No","2~3","2022-09-06 13:29:38","2022-09-06 16:20:41",0.379141061824358,0.936259582334605,0.557118520510247,"10262.6089999676s (~2.85 hours)",2.85072472221322,"Catfish"
"C3B","No","3~4","2022-09-06 16:20:41","2022-09-06 19:20:45",0.936259582334605,0.936259582334605,0,"10804.7990000248s (~3 hours)",3.00133305556244,"Catfish"
"C3B","No","4~5","2022-09-06 19:20:45","2022-09-06 22:22:35",0.936259582334605,1.18631802070561,0.250058438371006,"10909.2239999771s (~3.03 hours)",3.03033999999364,"Catfish"
"C3B","No","5~6","2022-09-06 22:22:35","2022-09-07 01:28:33",1.18631802070561,1.18631802070561,0,"11157.9690001011s (~3.1 hours)",3.09943583336141,"Catfish"
"C3B","No","6~7","2022-09-07 01:28:33","2022-09-07 04:35:50",1.18631802070561,1.42541973019844,0.239101709492832,"11236.9169998169s (~3.12 hours)",3.12136583328247,"Catfish"
"C3B","No","7~8","2022-09-07 04:35:50","2022-09-07 07:29:31",1.42541973019844,1.42541973019844,0,"10421.8070001602s (~2.89 hours)",2.89494638893339,"Catfish"
"C3B","No","8~9","2022-09-07 07:29:31","2022-09-07 08:50:00",1.42541973019844,4.8,3.37458026980156,"4828.11299991608s (~1.34 hours)",1.34114249997669,"Catfish"
"C3C","No","NA~0",NA,"2022-09-06 09:05:00",NA,0,NA,NA,NA,"Catfish"
"C3C","No","0~1","2022-09-06 09:05:00","2022-09-06 10:27:38",0,0,0,"4958.12699985504s (~1.38 hours)",1.37725749995973,"Catfish"
"C3C","No","1~2","2022-09-06 10:27:38","2022-09-06 13:31:44",0,0,0,"11046.3033335209s (~3.07 hours)",3.06841759264469,"Catfish"
"C3C","No","2~3","2022-09-06 13:31:44","2022-09-06 16:23:19",0,0,0,"10294.6706666946s (~2.86 hours)",2.85963074074851,"Catfish"
"C3C","No","3~4","2022-09-06 16:23:19","2022-09-06 19:22:25",0,0.379141061824358,0.379141061824358,"10746.673333168s (~2.99 hours)",2.98518703699112,"Catfish"
"C3C","No","4~5","2022-09-06 19:22:25","2022-09-06 22:24:14",0.379141061824358,0.379141061824358,0,"10909.0826668739s (~3.03 hours)",3.03030074079831,"Catfish"
"C3C","No","5~6","2022-09-06 22:24:14","2022-09-07 01:30:34",0.379141061824358,0.379141061824358,0,"11179.4106664658s (~3.11 hours)",3.10539185179604,"Catfish"
"C3C","No","6~7","2022-09-07 01:30:34","2022-09-07 04:37:53",0.379141061824358,1.18631802070561,0.807176958881253,"11239.3413333893s (~3.12 hours)",3.1220392592748,"Catfish"
"C3C","No","7~8","2022-09-07 04:37:53","2022-09-07 07:31:19",1.18631802070561,1.18631802070561,0,"10405.4013333321s (~2.89 hours)",2.89038925925891,"Catfish"
"C3C","No","8~9","2022-09-07 07:31:19","2022-09-07 08:51:00",1.18631802070561,2.5,1.31368197929439,"4780.98966670036s (~1.33 hours)",1.32805268519455,"Catfish"
"C3D","No","NA~0",NA,"2022-09-06 09:04:00",NA,0,NA,NA,NA,"Catfish"
"C3D","No","0~1","2022-09-06 09:04:00","2022-09-06 10:28:10",0,0,0,"5050.09500002861s (~1.4 hours)",1.40280416667461,"Catfish"
"C3D","No","1~2","2022-09-06 10:28:10","2022-09-06 13:32:14",0,0,0,"11044.3016664982s (~3.07 hours)",3.06786157402727,"Catfish"
"C3D","No","2~3","2022-09-06 13:32:14","2022-09-06 16:23:49",0,0.670657792045762,0.670657792045762,"10294.6383333206s (~2.86 hours)",2.85962175925573,"Catfish"
"C3D","No","3~4","2022-09-06 16:23:49","2022-09-06 19:22:54",0.670657792045762,1.42541973019844,0.754761938152682,"10745.7406668663s (~2.98 hours)",2.98492796301842,"Catfish"
"C3D","No","4~5","2022-09-06 19:22:54","2022-09-06 22:24:46",1.42541973019844,1.42541973019844,0,"10911.7513332367s (~3.03 hours)",3.03104203701019,"Catfish"
"C3D","No","5~6","2022-09-06 22:24:46","2022-09-07 01:31:10",1.42541973019844,1.42541973019844,0,"11184.041333437s (~3.11 hours)",3.10667814817693,"Catfish"
"C3D","No","6~7","2022-09-07 01:31:10","2022-09-07 04:38:56",1.42541973019844,2.09846282700738,0.67304309680894,"11265.6756665707s (~3.13 hours)",3.12935435182518,"Catfish"
"C3D","No","7~8","2022-09-07 04:38:56","2022-09-07 07:31:49",2.09846282700738,2.52140679353854,0.422943966531161,"10373.0986666679s (~2.88 hours)",2.88141629629665,"Catfish"
"C3D","No","8~9","2022-09-07 07:31:49","2022-09-07 08:52:00",2.52140679353854,4.3,1.77859320646145,"4810.65733337402s (~1.34 hours)",1.33629370371501,"Catfish"
"C3E","No","NA~0",NA,"2022-09-06 09:03:00",NA,0,NA,NA,NA,"Catfish"
"C3E","No","0~1","2022-09-06 09:03:00","2022-09-06 10:28:42",0,0,0,"5142.06299996376s (~1.43 hours)",1.42835083332327,"Catfish"
"C3E","No","1~2","2022-09-06 10:28:42","2022-09-06 13:32:44",0,0,0,"11042.2999999523s (~3.07 hours)",3.06730555554231,"Catfish"
"C3E","No","2~3","2022-09-06 13:32:44","2022-09-06 16:24:18",0,0,0,"10294.6059999466s (~2.86 hours)",2.85961277776294,"Catfish"
"C3E","No","3~4","2022-09-06 16:24:18","2022-09-06 19:23:23",0,0,0,"10744.8080000877s (~2.98 hours)",2.98466888891326,"Catfish"
"C3E","No","4~5","2022-09-06 19:23:23","2022-09-06 22:25:18",0,0,0,"10914.4200000763s (~3.03 hours)",3.03178333335453,"Catfish"
"C3E","No","5~6","2022-09-06 22:25:18","2022-09-07 01:31:46",0,0,0,"11188.6719999313s (~3.11 hours)",3.10796444442537,"Catfish"
"C3E","No","6~7","2022-09-07 01:31:46","2022-09-07 04:39:58",0,NA,NA,"11292.0099999905s (~3.14 hours)",3.1366694444418,"Catfish"
"C3E","No","7~8","2022-09-07 04:39:58","2022-09-07 07:32:19",NA,0,NA,"10340.7960000038s (~2.87 hours)",2.87244333333439,"Catfish"
"C3E","No","8~9","2022-09-07 07:32:19","2022-09-07 08:53:00",0,1,1,"4840.32500004768s (~1.34 hours)",1.34453472223547,"Catfish"
"C4A","No","NA~0",NA,"2022-09-06 09:01:00",NA,0,NA,NA,NA,"Catfish"
"C4A","No","0~1","2022-09-06 09:01:00","2022-09-06 10:32:08",0,0,0,"5468.76699995995s (~1.52 hours)",1.51910194443332,"Catfish"
"C4A","No","1~2","2022-09-06 10:32:08","2022-09-06 13:36:10",0,0.379141061824358,0.379141061824358,"11041.2999999523s (~3.07 hours)",3.06702777776453,"Catfish"
"C4A","No","2~3","2022-09-06 13:36:10","2022-09-06 16:27:20",0.379141061824358,0.936259582334605,0.557118520510247,"10270.8940000534s (~2.85 hours)",2.85302611112595,"Catfish"
"C4A","No","3~4","2022-09-06 16:27:20","2022-09-06 19:26:14",0.936259582334605,1.18631802070561,0.250058438371006,"10733.7060000896s (~2.98 hours)",2.9815850000249,"Catfish"
"C4A","No","4~5","2022-09-06 19:26:14","2022-09-06 22:28:06",1.18631802070561,0.936259582334605,-0.250058438371006,"10911.4269998074s (~3.03 hours)",3.03095194439093,"Catfish"
"C4A","No","5~6","2022-09-06 22:28:06","2022-09-07 01:35:12",0.936259582334605,0.936259582334605,0,"11226.4850001335s (~3.12 hours)",3.11846805559264,"Catfish"
"C4A","No","6~7","2022-09-07 01:35:12","2022-09-07 04:43:37",0.936259582334605,2.52140679353854,1.58514721120394,"11305.0970001221s (~3.14 hours)",3.14030472225613,"Catfish"
"C4A","No","7~8","2022-09-07 04:43:37","2022-09-07 07:36:15",2.52140679353854,4.64278442313049,2.12137762959194,"10357.8090000153s (~2.88 hours)",2.87716916667091,"Catfish"
"C4A","No","8~9","2022-09-07 07:36:15","2022-09-07 08:54:00",4.64278442313049,4.6,-0.0427844231304864,"4664.51499986649s (~1.3 hours)",1.29569861107402,"Catfish"
"C4B","No","NA~0",NA,"2022-09-06 09:00:00",NA,0,NA,NA,NA,"Catfish"
"C4B","No","0~1","2022-09-06 09:00:00","2022-09-06 10:36:37",0,4.08970405344471,4.08970405344471,"5797.65899991989s (~1.61 hours)",1.61046083331108,"Catfish"
"C4B","No","1~2","2022-09-06 10:36:37","2022-09-06 13:42:07",4.08970405344471,2.31202075896347,-1.77768329448124,"11129.4060001373s (~3.09 hours)",3.09150166670481,"Catfish"
"C4B","No","2~3","2022-09-06 13:42:07","2022-09-06 16:37:41",2.31202075896347,5.3590117553141,3.04699099635063,"10534.0510001183s (~2.93 hours)",2.92612527781063,"Catfish"
"C4B","No","3~4","2022-09-06 16:37:41","2022-09-06 19:32:10",5.3590117553141,4.96358428805237,-0.395427467261727,"10469.2039997578s (~2.91 hours)",2.90811222215494,"Catfish"
